group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
transport_sweep,0.18,0,conchas,90,0.24198119101090465,0.18501638594619313,5.3307899999999995,0.24641647164784558
transport_sweep,0.18,1,conchas,65,0.25041170168842203,0.18727912369073318,5.2971900000000005,0.24603661307974342
transport_sweep,0.18,10,conchas,78,0.24681700741023524,0.1974808485562758,5.33468,0.2470410471210956
transport_sweep,0.18,11,conchas,91,0.2564535148875498,0.18310563732570512,5.3527,0.24260567006261433
transport_sweep,0.18,12,conchas,77,0.23227820862609905,0.17689867971381507,5.306135,0.25135059175720714
transport_sweep,0.18,13,conchas,77,0.23487928159645455,0.18063837776943298,5.34801,0.24291195326687554
transport_sweep,0.18,14,conchas,90,0.2524484459707427,0.1716212432331529,5.32408,0.2481262214286925
transport_sweep,0.18,15,conchas,86,0.23450339869065462,0.17078847371754274,5.325950000000001,0.2455928962681958
transport_sweep,0.18,16,conchas,78,0.2302260274130871,0.18958616411650026,5.345445,0.24696939884652636
transport_sweep,0.18,17,conchas,77,0.2356181544016303,0.17406836268956272,5.33702,0.24534987657774895
transport_sweep,0.18,18,conchas,103,0.25489476437676467,0.17984591591247565,5.360815,0.24513047045279826
transport_sweep,0.18,19,conchas,85,0.23822423424760275,0.1805727471385565,5.3148800000000005,0.24805961403152163
transport_sweep,0.18,2,conchas,77,0.23668181500567737,0.17152658662092624,5.305625,0.24646063774185228
transport_sweep,0.18,20,conchas,77,0.2347339312896983,0.17748513549852102,5.338605,0.24205183349823498
transport_sweep,0.18,21,conchas,90,0.24324286336270767,0.17705852017386606,5.308655,0.24651325650562353
transport_sweep,0.18,22,conchas,78,0.24490066129724566,0.17028503580795215,5.332865000000001,0.2436085266258883
transport_sweep,0.18,23,conchas,86,0.2512871659387803,0.18602736107766288,5.30957,0.24614804946087532
transport_sweep,0.18,24,conchas,78,0.24033810538197492,0.1915432668310317,5.346545,0.24869683507584944
transport_sweep,0.18,25,conchas,77,0.25458810426099615,0.1923236047701654,5.332925,0.24648480430429526
transport_sweep,0.18,26,conchas,90,0.26334966279387545,0.1854373786693335,5.33288,0.24835193970489378
transport_sweep,0.18,27,conchas,85,0.24279065384649964,0.18242379584655408,5.32885,0.24647016684035794
transport_sweep,0.18,28,conchas,85,0.24902414534023962,0.19757472950669355,5.317055,0.24980250113478697
transport_sweep,0.18,29,conchas,91,0.23853412654416262,0.18369023041335764,5.337895,0.245900241217677
transport_sweep,0.18,3,conchas,85,0.23467428489158323,0.17698049602696847,5.299144999999999,0.2456598599373999
transport_sweep,0.18,4,conchas,96,0.24006901868252287,0.1772211451886341,5.299205,0.24870434840364278
transport_sweep,0.18,5,conchas,86,0.24248594504934728,0.18994711741713455,5.34636,0.24583945473531862
transport_sweep,0.18,6,conchas,77,0.23833024918873272,0.18781163841145068,5.33912,0.24633529564661724
transport_sweep,0.18,7,conchas,90,0.2447533742841259,0.18628716276266064,5.33638,0.2491693872702216
transport_sweep,0.18,8,conchas,78,0.24510075054012326,0.19599041811188442,5.330805000000001,0.24581188151481878
